代码	名称	涨幅%%	换手%%	细分行业	股东人数	人均持股	流通股本	总股本(万)	现价	上市日期	今开	最高	最低	昨收	市盈(动)	总金额	量比	未分利润	地区	总量	振幅%%	均价	内盘	外盘	内外比	
300009	安科生物	-6.38	          2.24	生物制品	16370.00	          7852	      12853.16	      24114.50	12.76	20091030	13.49	13.49	12.51	13.63	    56.73	37453264	  1.15	14480.05	安徽	28777	 7.19	13.01	16647	12130	  1.37	
002007	华兰生物	-6.38	          1.16	生物制品	51089.00	         11277	      57612.01	      57620.48	22.90	20040625	24.70	24.70	22.30	24.46	    25.18	156807952	  1.27	164829.27	河南	66965	 9.81	23.42	36669	30296	  1.21	
600999	招商证券	-6.38	          0.72	证券	123678.00	         37687	     466109.97	     466109.97	10.28	20091117	10.94	10.99	9.98	10.98	    19.48	346159840	  1.64	708822.44	深圳	333902	 9.20	10.37	148733	185169	  0.80	
601727	上海电气	-6.37	          0.05	电气设备	137062.00	         71870	     985071.44	    1282362.63	3.38	20081205	3.60	3.60	3.33	3.61	    16.30	17076918	  1.75	1060839.50	上海	49214	 7.48	3.47	35600	13614	  2.61	
000059	辽通化工	-6.37	          0.65	石油化工	57473.00	         20888	     120050.63	     120050.63	4.85	19970130	5.15	5.15	4.78	5.18	--  	38829072	  1.51	199909.59	辽宁	77801	 7.14	4.99	47858	29943	  1.60	
300078	中瑞思创	-6.37	          9.19	其他电子	12471.00	          6305	       7862.97	      16750.00	14.70	20100430	15.27	15.49	14.22	15.70	    33.85	107857432	  1.55	13064.02	浙江	72279	 8.09	14.92	41830	30449	  1.37	
300025	华星创业	-6.36	          2.42	通信设备	9515.00	          9981	       9496.50	      15600.00	6.48	20091030	7.00	7.00	6.26	6.92	  1030.25	15368996	  0.95	11699.06	浙江	22970	10.69	6.69	14042	8928	  1.57	
002133	广宇集团	-6.36	          1.36	房地产开发	45868.00	          9463	      43406.91	      59832.00	3.83	20070427	4.06	4.07	3.82	4.09	     5.68	23276958	  1.62	100457.41	浙江	59070	 6.11	3.94	42953	16117	  2.67	
603123	翠微股份	-6.36	          1.43	零售	18851.00	          5966	      11246.00	      30800.00	6.63	20120503	7.07	7.07	6.60	7.08	     8.90	10973732	  1.72	39263.18	北京	16133	 6.64	6.80	10814	5319	  2.03	
002467	二六三	-6.35	          3.68	通信运营	25646.00	          5153	      13215.88	      24000.00	16.95	20100908	18.11	18.90	16.80	18.10	    28.97	85593480	  0.86	41802.45	北京	48667	11.60	17.59	26745	21922	  1.22	
600501	航天晨光	-6.35	          1.14	专用设备	45408.00	          8573	      38928.35	      38928.35	7.08	20010615	7.58	7.62	7.00	7.56	    69.41	32257070	  0.88	19842.92	江苏	44416	 8.20	7.26	27468	16948	  1.62	
000547	闽福发Ａ	-6.34	          1.06	综合	48863.00	         13529	      66105.27	      83487.82	3.10	19931130	3.30	3.30	3.04	3.31	    12.97	22325888	  1.54	36381.21	福建	70243	 7.85	3.18	50853	19390	  2.62	
601899	紫金矿业	-6.34	          0.39	有色金属	910681.00	         17354	    1580380.38	    2181196.25	2.51	20080425	2.66	2.66	2.50	2.68	    19.02	158301152	  1.49	1775367.25	福建	613503	 5.97	2.58	294386	319117	  0.92	
600822	上海物贸	-6.34	          0.36	贸易	47245.00	          8385	      39614.78	      49597.28	3.99	19940204	4.26	4.26	3.89	4.26	    72.84	5899408	  0.97	-26421.69	上海	14452	 8.69	4.08	10400	4052	  2.57	
000761	本钢板材	-6.34	          0.12	钢铁	55881.00	         48961	     273600.00	     313600.00	2.66	19980115	2.84	2.84	2.64	2.84	    20.27	9070039	  1.06	249049.00	辽宁	33420	 7.04	2.71	25610	7810	  3.28	
600127	金健米业	-6.33	          0.81	农产品加工	133396.00	          4082	      54445.96	      54445.96	4.14	19980506	4.48	4.56	4.01	4.42	   108.12	18641180	  1.69	-23577.74	湖南	43852	12.44	4.25	22417	21435	  1.05	
002299	圣农发展	-6.33	          0.68	畜禽养殖	48991.00	         18278	      89545.49	      91090.00	10.95	20091021	11.59	11.83	10.63	11.69	--  	67879072	  1.36	47209.75	福建	61217	10.27	11.09	31236	29981	  1.04	
601668	中国建筑	-6.33	          0.51	建筑装饰	750673.00	         39964	    3000000.00	    3000000.00	3.11	20090729	3.32	3.33	3.10	3.32	     6.54	489821280	  2.47	4312575.50	北京	1544710	 6.93	3.17	732622	812088	  0.90	
002404	嘉欣丝绸	-6.32	          1.00	纺织制造	21424.00	          7863	      16845.02	      26032.50	5.78	20100511	6.20	6.20	5.76	6.17	    32.65	10004559	  1.04	30994.70	浙江	16789	 7.13	5.96	12279	4510	  2.72	
600122	宏图高科	-6.32	          0.59	零售	92210.00	         12285	     113278.96	     113278.96	3.41	19980420	3.63	3.63	3.37	3.64	    16.49	23544520	  1.62	126285.77	江苏	67240	 7.14	3.50	42938	24302	  1.77	
002366	丹甫股份	-6.31	          0.97	白色家电	19367.00	          4627	       8961.20	      13350.00	7.27	20100312	7.66	7.79	7.27	7.76	    25.95	6571408	  1.25	9562.48	四川	8731	 6.70	7.53	5350	3381	  1.58	
