代码	名称	涨幅%%	换手%%	细分行业	股东人数	人均持股	流通股本	总股本(万)	现价	上市日期	今开	最高	最低	昨收	市盈(动)	总金额	量比	未分利润	地区	总量	振幅%%	均价	内盘	外盘	内外比	
002238	天威视讯	-10.00	          1.47	网络服务	17007.00	         18839	      32040.00	      32040.00	10.80	20080526	11.99	12.08	10.80	12.00	    25.56	53484444	  1.22	69970.25	深圳	47240	10.67	11.32	25416	21824	  1.16	
002247	帝龙新材	-10.00	          0.64	家用轻工	10260.00	          7940	       8146.87	      12880.00	10.80	20080612	12.00	12.08	10.80	12.00	    43.44	5909310	  1.98	15990.99	浙江	5235	10.67	11.29	3345	1890	  1.77	
002420	毅昌股份	-10.00	          1.91	视听器材	23637.00	         14713	      34776.28	      40100.00	5.94	20100601	6.52	6.60	5.94	6.60	   129.92	40536268	  0.89	38416.50	广东	66406	10.00	6.10	42788	23618	  1.81	
002649	博彦科技	-10.00	          5.70	计算机应用	6313.00	          6249	       3944.97	      15000.00	26.01	20120106	28.72	28.87	26.01	28.90	    45.37	60007476	  1.49	20013.40	北京	22478	 9.90	26.70	12190	10288	  1.18	
300275	梅安森	-10.00	          3.02	专用设备	4148.00	         13784	       5717.60	      16427.59	10.80	20111102	11.95	11.95	10.80	12.00	    30.23	19226740	  0.93	16817.82	重庆	17276	 9.58	11.13	11898	5378	  2.21	
600870	厦华电子	-10.00	          2.30	视听器材	29439.00	         12596	      37081.87	      52319.96	3.06	19950228	3.40	3.43	3.06	3.40	   245.10	26898760	  2.16	-229303.42	福建	85121	10.88	3.16	44765	40356	  1.11	
000671	阳 光 城	-10.00	          1.21	房地产开发	13857.00	         72844	     100939.95	     101841.04	10.71	19961218	11.75	11.75	10.71	11.90	    62.59	133677952	  1.43	141386.42	福建	121800	 8.74	10.98	53537	68263	  0.78	
002095	生 意 宝	-10.00	          5.48	网络服务	15418.00	         10426	      16074.08	      16200.00	20.70	20061215	22.60	22.85	20.70	23.00	    84.85	190263344	  0.82	20599.00	浙江	88085	 9.35	21.60	48325	39760	  1.22	
002221	东华能源	-10.00	          1.68	石油化工	15818.00	         28334	      44819.23	      58634.62	9.99	20080306	11.12	11.12	9.99	11.10	   244.34	77877720	  1.49	3034.20	江苏	75094	10.18	10.37	43512	31582	  1.38	
600067	冠城大通	-10.00	          3.67	房地产开发	52599.00	         22373	     117680.40	     117680.40	7.38	19970508	8.19	8.19	7.38	8.20	     3.19	328188640	  1.35	284378.16	福建	431829	 9.88	7.60	197257	234572	  0.84	
600336	澳柯玛	-10.00	          3.20	白色家电	39190.00	          8677	      34003.60	      34103.60	7.38	20001229	8.15	8.17	7.38	8.20	     6.53	83925224	  1.12	-36452.53	山东	108673	 9.63	7.72	55425	53248	  1.04	
601388	怡球资源	-10.00	          1.66	有色金属	22730.00	          7531	      17118.50	      41000.00	8.82	20120423	9.75	9.78	8.82	9.80	    26.62	26264936	  1.03	60137.61	江苏	28366	 9.80	9.26	18533	9833	  1.88	
002594	比亚迪	-10.00	          3.36	汽车整车	31461.00	         10950	      34449.44	     235410.00	29.34	20110630	32.30	32.30	29.34	32.60	   153.64	353537312	  1.03	1023875.88	深圳	115664	 9.08	30.57	53824	61840	  0.87	
002310	东方园林	-10.00	          1.88	建筑装饰	14054.00	         21412	      30092.44	      60603.28	36.11	20091127	39.57	40.00	36.11	40.12	--  	209364144	  2.45	142653.42	北京	56470	 9.70	37.07	32671	23799	  1.37	
000819	岳阳兴长	-9.99	          1.92	石油化工	22148.00	          9620	      21307.03	      21308.36	13.87	19970625	15.39	15.39	13.87	15.41	    54.58	58685396	  2.01	17011.20	湖南	40977	 9.86	14.32	25400	15577	  1.63	
002529	海源机械	-9.99	         10.11	专用设备	23099.00	          3585	       8281.75	      16000.00	12.07	20101224	13.20	13.25	12.07	13.41	  1602.39	105157704	  0.89	13071.56	福建	83699	 8.80	12.56	46684	37015	  1.26	
002258	利尔化学	-9.99	          1.23	化学制品	18867.00	         10407	      19633.98	      20244.40	11.80	20080708	13.11	13.12	11.80	13.11	    19.98	29532882	  1.40	34284.65	四川	24204	10.07	12.20	16023	8181	  1.96	
600372	中航电子	-9.99	          1.46	非汽车交运	16711.00	         39256	      65600.00	     135320.20	21.98	20010706	24.35	24.48	21.98	24.42	    84.17	218789920	  1.33	54897.75	江西	95582	10.24	22.89	43712	51870	  0.84	
600745	中茵股份	-9.99	          1.32	房地产开发	16351.00	         20022	      32737.49	      32737.49	9.55	19960828	10.61	10.80	9.55	10.61	    99.12	42915492	  1.35	18749.75	湖北	43188	11.78	9.94	24989	18199	  1.37	
300220	金运激光	-9.99	         13.62	其他电子	4214.00	          4970	       2094.15	       7000.00	16.31	20110525	17.96	17.96	16.31	18.12	    73.48	48641020	  0.87	6987.45	湖北	28521	 9.11	17.05	16934	11587	  1.46	
002319	乐通股份	-9.99	          6.25	化学制品	41973.00	          4756	      19963.85	      20000.00	7.39	20091211	8.22	8.27	7.39	8.21	    87.75	96187808	  1.62	11559.92	广东	124844	10.72	7.70	76260	48584	  1.57	
600645	中源协和	-9.99	          1.25	生物制品	17181.00	         18905	      32480.74	      32504.09	28.84	19930504	32.05	32.05	28.84	32.04	--  	122532320	  1.05	-20930.02	天津	40747	10.02	30.07	21908	18839	  1.16	
600783	鲁信创投	-9.99	          1.87	多元金融	32832.00	         22672	      74435.92	      74435.92	13.79	19961225	15.10	15.10	13.79	15.32	   107.07	199099136	  0.80	135639.02	山东	139036	 8.55	14.32	65244	73792	  0.88	
000960	锡业股份	-9.99	          0.93	有色金属	99006.00	          9156	      90652.03	     115122.03	12.62	20000221	14.05	14.09	12.62	14.02	--  	110474976	  1.80	141354.22	云南	84516	10.49	13.07	37371	47145	  0.79	
600740	山西焦化	-9.99	          2.44	煤炭开采	101871.00	          4484	      45683.28	      76570.00	6.22	19960808	6.92	6.98	6.22	6.91	   158.15	72473904	  0.70	-45042.19	山西	111426	11.00	6.50	67907	43519	  1.56	
000762	西藏矿业	-9.99	          5.62	其他采掘	67187.00	          6918	      46482.25	      47597.48	12.08	19970708	13.32	13.67	12.08	13.42	   347.14	330051520	  1.07	-92.92	西藏	261156	11.85	12.64	129510	131646	  0.98	
002125	湘潭电化	-9.98	          0.86	化学原料	13421.00	          9963	      13371.88	      13913.05	5.95	20070403	6.60	6.69	5.95	6.61	--  	7308409	  1.46	-821.84	湖南	11534	11.20	6.34	7554	3980	  1.90	
600818	中路股份	-9.98	          1.93	综合	30128.00	          7898	      23795.78	      32144.78	11.90	19940128	13.11	13.32	11.90	13.22	   381.76	57087256	  0.73	6917.02	上海	45823	10.74	12.46	28610	17213	  1.66	
002547	春兴精工	-9.98	          6.45	电子制造	11106.00	          9933	      11031.71	      28400.00	11.54	20110218	12.20	12.24	11.54	12.82	    52.12	84406312	  1.62	9890.53	江苏	71173	 5.46	11.86	47548	23625	  2.01	
300340	科恒股份	-9.98	          6.35	其他电子	7276.00	          3436	       2500.00	      10000.00	17.22	20120726	18.92	19.33	17.22	19.13	   134.22	28501298	  1.07	28869.56	广东	15874	11.03	17.95	8672	7202	  1.20	
300282	汇冠股份	-9.98	         16.17	电子制造	3453.00	          6720	       2320.50	       7180.68	17.04	20111229	18.62	18.98	17.04	18.93	  1274.57	67012588	  0.81	6040.71	北京	37516	10.25	17.86	22653	14863	  1.52	
600266	北京城建	-9.98	          1.58	房地产开发	49389.00	         18004	      88920.00	      88920.00	10.01	19990203	11.09	11.10	10.01	11.12	    14.19	143510176	  3.19	484070.16	北京	140232	 9.80	10.23	78051	62181	  1.26	
600206	有研硅股	-9.98	          8.35	半导体	31624.00	          6878	      21750.00	      27784.93	14.79	19990319	16.38	16.61	14.79	16.43	--  	281511552	  1.56	-4761.93	北京	181713	11.08	15.49	93898	87815	  1.07	
300303	聚飞光电	-9.98	          9.26	光学光电子	7908.00	         13793	      10907.82	      21760.00	14.70	20120319	16.30	16.88	14.70	16.33	    27.52	157197936	  0.94	22734.27	深圳	101054	13.35	15.56	68759	32295	  2.13	
000801	四川九洲	-9.98	          0.67	视听器材	23856.00	         15928	      37998.82	      45988.82	9.74	19980506	10.82	10.82	9.74	10.82	    83.76	25786676	  1.62	34792.80	四川	25591	 9.98	10.08	12753	12838	  0.99	
601166	兴业银行	-9.98	          2.13	银行	214165.00	         50365	    1078641.13	    1270155.75	13.89	20070205	15.31	15.31	13.89	15.43	     4.02	3266633984	  2.86	8226000.00	福建	2301908	 9.20	14.19	1013513	1288395	  0.79	
000598	兴蓉投资	-9.98	          6.33	水务	109982.00	         15735	     173051.20	     298621.88	4.51	19960529	5.00	5.00	4.51	5.01	    16.56	512376672	  1.66	146170.77	四川	1095546	 9.78	4.68	609740	485806	  1.26	
000768	中航飞机	-9.98	          0.96	非汽车交运	197005.00	         11876	     233965.92	     265383.44	8.93	19970626	9.90	9.90	8.93	9.92	--  	207744896	  1.56	71865.30	陕西	224086	 9.78	9.27	119625	104461	  1.15	
600209	罗顿发展	-9.98	          3.71	建筑装饰	64376.00	          5830	      37529.76	      43901.12	8.93	19990325	9.99	10.06	8.93	9.92	--  	129898760	  1.13	9251.45	海南	139251	11.39	9.33	72517	66734	  1.09	
000852	江钻股份	-9.98	          4.26	专用设备	42903.00	          3033	      13011.30	      40040.00	12.99	19981126	14.30	14.40	12.99	14.43	   114.46	75024280	  1.52	45062.04	湖北	55483	 9.77	13.52	31519	23964	  1.32	
600499	科达机电	-9.98	          1.66	专用设备	34062.00	         18808	      64063.67	      66624.86	11.91	20021010	13.33	13.34	11.91	13.23	    23.04	131025840	  1.68	109705.01	广东	106340	10.81	12.32	48587	57753	  0.84	
600072	中船股份	-9.98	          1.61	非汽车交运	95355.00	          5017	      47842.96	      47842.96	11.19	19970603	12.02	12.02	11.19	12.43	--  	88305656	  1.29	27227.90	上海	77165	 6.68	11.44	37129	40036	  0.93	
300158	振东制药	-9.97	          4.43	中药	24208.00	          3706	       8970.50	      28800.00	10.47	20110107	11.50	11.66	10.47	11.63	    33.39	43644836	  0.87	27501.26	山西	39767	10.23	10.98	23124	16643	  1.39	
600880	博瑞传播	-9.97	          9.20	传媒	50649.00	          8175	      41407.12	      62798.01	13.90	19951115	15.30	15.35	13.90	15.44	    24.72	549977536	  0.86	122641.32	四川	381113	 9.39	14.43	187549	193564	  0.97	
600739	辽宁成大	-9.97	          2.28	证券	127688.00	         10688	     136470.98	     136470.98	13.45	19960819	14.88	14.90	13.45	14.94	    23.95	436840832	  1.42	832703.19	辽宁	310490	 9.71	14.07	161446	149044	  1.08	
600890	中房股份	-9.97	          1.83	房地产开发	25002.00	         23166	      57919.48	      57919.48	6.68	19960318	7.30	7.38	6.68	7.42	--  	74365968	  0.99	-37289.78	北京	106053	 9.43	7.01	57915	48138	  1.20	
000523	广州浪奇	-9.97	          2.85	化学制品	29092.00	         15295	      44497.51	      44516.35	6.50	19931108	7.24	7.25	6.50	7.22	   231.78	85581024	  1.60	9301.02	广东	126906	10.39	6.74	65335	61571	  1.06	
002056	横店东磁	-9.97	          2.39	其他电子	56662.00	          7252	      41089.76	      41090.00	13.00	20060802	14.37	14.58	13.00	14.44	    29.59	133798288	  1.51	73989.33	浙江	98401	10.94	13.60	61101	37300	  1.64	
603002	宏昌电子	-9.97	          3.14	化工新材料	23605.00	          8049	      19000.00	      40000.00	6.32	20120518	6.98	6.98	6.32	7.02	    40.38	39155924	  1.15	17795.05	广东	59649	 9.40	6.56	37946	21703	  1.75	
002179	中航光电	-9.97	          1.52	电子制造	19945.00	         10497	      20936.81	      46347.30	12.37	20071101	13.58	13.70	12.37	13.74	    41.92	40642740	  1.26	53601.41	河南	31723	 9.68	12.81	16163	15560	  1.04	
600052	浙江广厦	-9.97	          1.02	房地产开发	65313.00	         13348	      87178.90	      87178.90	3.07	19970415	3.38	3.40	3.07	3.41	    72.76	28703016	  1.78	79990.65	浙江	89115	 9.68	3.22	46154	42961	  1.07	
600160	巨化股份	-9.97	          0.73	化学制品	95256.00	         14718	     140195.84	     141691.84	6.14	19980626	6.80	6.85	6.14	6.82	    32.49	66188496	  1.15	282930.41	浙江	102926	10.41	6.43	59192	43734	  1.35	
000831	五矿稀土	-9.97	          2.08	有色金属	61993.00	         10539	      65334.62	      96665.25	15.26	19980911	16.87	17.00	15.26	16.95	   136.11	212561568	  1.72	38647.19	山西	135615	10.27	15.67	53955	81660	  0.66	
002320	海峡股份	-9.97	          1.63	航运	26275.00	         16208	      42587.53	      42588.00	8.67	20091216	9.61	9.61	8.67	9.63	    31.37	62806076	  1.13	34867.44	海南	69610	 9.76	9.02	40169	29441	  1.36	
600162	香江控股	-9.97	          2.99	房地产开发	45526.00	          7945	      36169.73	      76781.27	5.69	19980609	6.32	6.32	5.69	6.32	   261.56	64595684	  1.66	54165.45	深圳	108287	 9.97	5.97	65874	42413	  1.55	
603399	新华龙	-9.97	          6.12	有色金属	19237.00	          3294	       6336.00	      25336.00	11.20	20120824	12.45	12.48	11.20	12.44	    39.01	45134888	  1.30	27873.55	辽宁	38759	10.29	11.64	23094	15665	  1.47	
002023	海特高新	-9.97	          2.40	交运服务	21866.00	         13103	      28651.91	      33698.53	10.93	20040721	12.14	12.14	10.93	12.14	    45.22	77066688	  2.09	34671.80	四川	68793	 9.97	11.20	35583	33210	  1.07	
600605	汇通能源	-9.96	          2.10	贸易	16229.00	          9079	      14734.45	      14734.45	7.59	19920327	8.35	8.35	7.59	8.43	   318.98	24248468	  0.83	13259.65	上海	31007	 9.02	7.82	17807	13200	  1.35	
002146	荣盛发展	-9.96	          1.06	房地产开发	20519.00	         79403	     162927.95	     187179.95	12.65	20070808	13.92	13.98	12.65	14.05	    19.83	223815024	  1.54	482363.44	河北	171952	 9.47	13.02	84868	87084	  0.97	
600313	中农资源	-9.96	          3.06	农业综合	16479.00	         18460	      30420.00	      36728.73	7.50	20010119	8.33	8.35	7.50	8.33	--  	72496504	  1.55	-1640.49	北京	93237	10.20	7.78	47423	45814	  1.04	
600503	华丽家族	-9.96	          4.72	房地产开发	89014.00	         12352	     109947.67	     113907.60	4.88	20020709	5.40	5.52	4.88	5.42	   212.56	266225840	  1.49	61429.68	上海	519069	11.81	5.13	268209	250860	  1.07	
600280	南京中商	-9.96	          0.65	零售	3631.00	         79065	      28708.36	      28708.36	21.24	20000926	23.06	23.68	21.23	23.59	    11.79	41050024	  1.41	27102.83	江苏	18602	10.39	22.07	12003	6599	  1.82	
000622	岳阳恒立	-9.96	          6.02	综合	24716.00	          8010	      19797.00	      42522.60	4.43	19961107	4.89	4.93	4.43	4.92	--  	55243112	  0.80	-38390.10	湖南	119186	10.16	4.64	71116	48070	  1.48	
300227	光韵达	-9.96	          7.68	电子制造	5035.00	         13467	       6780.66	      13400.00	12.84	20110608	13.98	14.17	12.83	14.26	   137.53	69799840	  0.67	7910.20	深圳	52052	 9.40	13.41	29517	22535	  1.31	
600732	上海新梅	-9.95	          3.24	房地产开发	56839.00	          7220	      41038.30	      44638.30	3.98	19960816	4.46	4.47	3.98	4.42	--  	55064760	  1.72	5012.76	上海	133095	11.09	4.14	78098	54997	  1.42	
601996	丰林集团	-9.95	          4.10	家用轻工	34214.00	          5734	      19619.40	      46891.19	5.97	20110929	6.60	6.68	5.97	6.63	   154.61	50014480	  1.13	35005.78	广西	80532	10.71	6.21	44691	35841	  1.25	
002348	高乐股份	-9.95	          2.83	家用轻工	11253.00	         28674	      32266.40	      47360.00	5.61	20100203	6.18	6.24	5.61	6.23	    34.33	53820172	  0.81	19118.84	广东	91171	10.11	5.90	59672	31499	  1.89	
002005	德豪润达	-9.95	          4.42	光学光电子	29810.00	         28336	      84470.65	     116640.00	9.32	20040625	10.30	10.35	9.32	10.35	    62.78	360517856	  1.42	82039.75	广东	372941	 9.95	9.67	212504	160437	  1.32	
600987	航民股份	-9.95	          0.88	纺织制造	23921.00	         26559	      63531.00	      63531.00	5.25	20040809	5.84	5.86	5.25	5.83	    16.09	30703774	  1.59	96650.75	浙江	55647	10.46	5.52	33906	21741	  1.56	
600016	民生银行	-9.95	          1.10	银行	701160.00	         32215	    2258760.25	    2836558.50	8.51	20001219	9.33	9.34	8.51	9.45	     5.48	2158574080	  1.97	4862200.00	北京	2490918	 8.78	8.67	1014985	1475933	  0.69	
300116	坚瑞消防	-9.95	          5.65	化学制品	8052.00	         10432	       8399.79	      16000.00	4.98	20100902	5.52	5.52	4.98	5.53	--  	24209356	  1.80	4041.15	陕西	47455	 9.76	5.10	21129	26326	  0.80	
000798	中水渔业	-9.94	          1.02	渔业	25056.00	         12750	      31945.25	      31945.50	6.34	19980212	7.00	7.04	6.34	7.04	--  	21315586	  1.99	6842.06	北京	32524	 9.94	6.55	19471	13053	  1.49	
002108	沧州明珠	-9.94	          2.34	塑料	23200.00	         14495	      33627.48	      34015.48	7.61	20070124	8.44	8.44	7.61	8.45	    26.91	62554472	  1.24	37005.05	河北	78830	 9.82	7.94	45465	33365	  1.36	
603766	隆鑫通用	-9.94	          4.42	非汽车交运	16634.00	          4809	       8000.00	      80000.00	7.52	20120810	8.35	8.35	7.52	8.35	    10.95	27480790	  1.66	176533.38	重庆	35400	 9.94	7.76	21048	14352	  1.47	
300219	鸿利光电	-9.94	          4.94	光学光电子	9165.00	         11757	      10775.73	      24546.59	7.43	20110518	8.16	8.29	7.43	8.25	    54.96	41277360	  0.71	9937.07	广东	53181	10.42	7.76	33981	19200	  1.77	
601901	方正证券	-9.94	          4.08	证券	161693.00	         21410	     346177.97	     610000.00	5.89	20110810	6.50	6.50	5.89	6.54	    26.93	857816128	  1.66	45960.36	湖南	1411465	 9.33	6.08	732303	679162	  1.08	
600678	四川金顶	-9.94	          2.05	建筑材料	48422.00	          7207	      34899.00	      34899.00	5.71	19931008	6.38	6.38	5.71	6.34	--  	42402728	  1.13	-63022.81	四川	71437	10.57	5.94	42711	28726	  1.49	
600076	青鸟华光	-9.93	          2.12	计算机设备	29944.00	         12207	      36553.60	      36553.60	4.08	19970526	4.46	4.51	4.08	4.53	--  	33492420	  0.96	-81262.56	山东	77656	 9.49	4.31	42030	35626	  1.18	
600239	云南城投	-9.93	          1.39	房地产开发	56141.00	         14667	      82342.92	      82342.92	5.35	19991202	5.94	5.94	5.35	5.94	--  	63425060	  1.78	59471.86	云南	114250	 9.93	5.55	71170	43080	  1.65	
600837	海通证券	-9.93	          1.90	证券	408491.00	         19810	     809213.13	     958472.13	9.25	19940224	10.17	10.23	9.24	10.27	    15.46	1490494464	  1.80	1159664.00	上海	1540381	 9.64	9.68	770709	769672	  1.00	
000613	大东海A	-9.93	          4.82	酒店	26852.00	          9641	      25888.27	      36410.00	5.08	19970128	5.65	5.70	5.08	5.64	   525.64	66213684	  0.97	-33325.18	海南	124854	10.99	5.30	77643	47211	  1.64	
600359	新农开发	-9.93	          1.21	种植业	45351.00	          7078	      32100.00	      32100.00	4.99	19990429	5.51	5.51	4.99	5.54	    45.36	19954896	  2.19	-62462.63	新疆	38905	 9.39	5.13	25957	12948	  2.00	
600710	常林股份	-9.93	          0.96	专用设备	51527.00	         12426	      64028.39	      64028.39	3.72	19960701	4.10	4.11	3.72	4.13	--  	23526820	  1.54	71362.18	江苏	61237	 9.44	3.84	38313	22924	  1.67	
000046	泛海建设	-9.93	          0.27	房地产开发	48098.00	         94518	     454611.91	     455731.19	4.90	19940912	5.38	5.44	4.90	5.44	    69.10	61305632	  1.97	96756.65	深圳	120984	 9.93	5.07	60214	60770	  0.99	
002155	辰州矿业	-9.92	          1.03	有色金属	110230.00	          9036	      99605.96	      99626.79	8.90	20070816	9.78	9.78	8.90	9.88	    31.42	95285840	  1.42	122851.01	湖南	102262	 8.91	9.32	58891	43371	  1.36	
000595	西北轴承	-9.92	          0.81	通用机械	15442.00	         14040	      21681.24	      21682.92	5.54	19960419	6.10	6.19	5.54	6.15	--  	10083446	  1.44	-21419.60	宁夏	17578	10.57	5.74	10446	7132	  1.46	
600696	多伦股份	-9.92	          2.16	房地产开发	45047.00	          7560	      34056.55	      34056.55	5.54	19931206	6.00	6.02	5.54	6.15	    37.86	41995548	  1.05	13453.37	上海	73519	 7.80	5.71	36396	37123	  0.98	
600611	大众交通	-9.91	          2.05	公交	171477.00	          6078	     104221.09	     157608.19	5.18	19920807	5.67	5.71	5.18	5.75	    27.44	115103024	  0.90	199296.11	上海	213633	 9.22	5.39	124506	89127	  1.40	
600624	复旦复华	-9.91	          2.79	综合	78502.00	          4397	      34515.50	      34515.50	7.09	19930105	7.78	7.87	7.08	7.87	   114.10	70940328	  0.76	14073.29	上海	96131	10.04	7.38	56801	39330	  1.44	
300323	华灿光电	-9.91	          3.19	光学光电子	15109.00	          5729	       8655.50	      20000.00	11.00	20120601	12.20	12.21	11.00	12.21	    31.78	31852578	  0.90	21181.14	湖北	27596	 9.91	11.54	16706	10890	  1.53	
300324	旋极信息	-9.91	          6.34	计算机应用	3972.00	          8259	       3280.50	      11200.00	15.82	20120608	17.49	17.50	15.80	17.56	   357.37	34391620	  1.55	13151.67	北京	20798	 9.68	16.54	14174	6624	  2.14	
300150	世纪瑞尔	-9.91	          4.11	计算机应用	13260.00	         11284	      14962.01	      27000.00	6.91	20101222	7.53	7.53	6.90	7.67	    67.10	43861504	  0.89	8113.02	北京	61433	 8.21	7.14	38045	23388	  1.63	
600892	宝诚股份	-9.91	          2.18	综合	3502.00	         14393	       5040.60	       6312.50	13.73	19960315	15.30	15.41	13.72	15.24	   285.97	15845083	  0.99	-21087.05	北京	10970	11.09	14.44	7868	3102	  2.54	
002680	黄海机械	-9.91	          4.39	专用设备	8947.00	          2587	       2315.00	       8000.00	18.28	20120605	20.04	20.20	18.26	20.29	    40.42	19542000	  1.25	14418.75	江苏	10171	 9.56	19.21	6907	3264	  2.12	
600275	武昌鱼	-9.91	          3.08	房地产开发	33854.00	         15030	      50883.71	      50883.71	5.73	20000810	6.38	6.40	5.72	6.36	--  	93255584	  1.04	-41994.96	湖北	156711	10.69	5.95	95479	61232	  1.56	
600872	中炬高新	-9.91	          1.85	食品加工	117399.00	          6786	      79663.71	      79663.71	6.64	19950124	7.37	7.37	6.63	7.37	    34.35	101877120	  1.42	73157.88	广东	147563	10.04	6.90	89180	58383	  1.53	
000038	深大通	-9.90	          5.17	房地产开发	5409.00	          4600	       2488.19	       9622.79	9.37	19940808	10.42	10.45	9.36	10.40	  1029.29	12707912	  1.05	3293.36	深圳	12858	10.48	9.88	9158	3700	  2.48	
600135	乐凯胶片	-9.90	          1.76	家用轻工	26312.00	         12998	      34200.00	      34200.00	7.37	19980122	8.13	8.13	7.36	8.18	    60.32	46055180	  1.11	14606.37	河北	60114	 9.41	7.66	37449	22665	  1.65	
000506	中润资源	-9.90	          0.95	房地产开发	39019.00	         23681	      92402.84	      92901.77	4.55	19930312	5.05	5.05	4.55	5.05	    22.87	41341124	  1.48	70182.91	山东	87984	 9.90	4.70	54180	33804	  1.60	
002502	骅威股份	-9.90	          1.52	家用轻工	12538.00	          6212	       7788.35	      14080.00	7.92	20101117	8.79	8.88	7.92	8.79	    79.07	9899851	  0.84	18027.27	广东	11864	10.92	8.34	8487	3377	  2.51	
000820	金城股份	-9.89	          4.88	造纸	45675.00	          4834	      22081.00	      28783.48	8.56	19980630	9.52	9.52	8.55	9.50	  2971.38	96742752	  1.01	-61873.86	辽宁	107850	10.21	8.97	63987	43863	  1.46	
